bin_lo,bin_hi,bin_center,state,Ex_MeV,counts,counts_err
30,32.5,31.25,ex5.91_3half+,5.98862,0.514514,1.71864
30,32.5,31.25,ex6.30_5half+,6.36845,0.628085,228.14
30,32.5,31.25,contaminant,0.85,0,0
32.5,35,33.75,gs_3half+,0,12.5905,6.21145
32.5,35,33.75,ex_1half+_217,0.218,12.9881,9.67375
32.5,35,33.75,ex_5half+_335,0.35,17.6162,8.64979
32.5,35,33.75,ex2.763_1half-,2.83219,4.10623,4.9632
32.5,35,33.75,ex2.980_3half+,3.10579,4.02897,5.47177
32.5,35,33.75,ex3.661_NEW,3.72273,29.5633,11.2245
32.5,35,33.75,ex4.231_3half+,4.21907,6.17621,6.7573
32.5,35,33.75,ex4.841_1half+,4.94246,0.515458,3.62433
32.5,35,33.75,ex5.91_3half+,5.98862,0.514514,12.9273
32.5,35,33.75,ex6.30_5half+,6.36845,0.628085,15440.7
32.5,35,33.75,contaminant,0.85,0,0
35,37.5,36.25,gs_3half+,0,7.47848,5.10664
35,37.5,36.25,ex_1half+_217,0.218,18.8219,7.06025
35,37.5,36.25,ex_5half+_335,0.35,17.3316,6.3834
35,37.5,36.25,ex2.763_1half-,2.83219,0.628128,2.29968
35,37.5,36.25,ex2.980_3half+,3.10579,0.628429,3.38394
35,37.5,36.25,ex3.661_NEW,3.72273,0.874786,52.3774
35,37.5,36.25,ex4.231_3half+,4.21907,0.619899,0.633571
35,37.5,36.25,ex4.841_1half+,4.94246,0.515459,6.51177
35,37.5,36.25,ex5.91_3half+,5.98862,0.514514,66.2883
35,37.5,36.25,ex6.30_5half+,6.36845,0.628085,20025.6
35,37.5,36.25,contaminant,0.85,0,0
37.5,40,38.75,gs_3half+,0,2.29612,3.44895
37.5,40,38.75,ex_1half+_217,0.218,5.24476,4.95472
37.5,40,38.75,ex_5half+_335,0.35,16.5999,5.35645
37.5,40,38.75,ex2.763_1half-,2.83219,0.628128,0.609626
37.5,40,38.75,ex2.980_3half+,3.10579,0.628429,0.98925
37.5,40,38.75,ex3.661_NEW,3.72273,0.606009,4.74771
37.5,40,38.75,ex4.231_3half+,4.21907,0.619899,89.6431
37.5,40,38.75,ex4.841_1half+,4.94246,0.515458,37.5708
37.5,40,38.75,ex5.91_3half+,5.98862,0.514514,208.182
37.5,40,38.75,ex6.30_5half+,6.36845,0.628085,13402.9
37.5,40,38.75,contaminant,0.85,0,0
