bin_lo,bin_hi,bin_center,state,Ex_MeV,dsdo_mbsr,dsdo_err_mbsr,eff,eff_err
27.5,30,28.75,ex2.763_1half-,2.83219,0.506914,0.203136,0.830506,0.0118673
27.5,30,28.75,ex2.980_3half+,3.10579,0.213642,0.178252,0.832189,0.0125901
27.5,30,28.75,ex3.661_NEW,3.72273,1.22525,0.363325,0.830246,0.0107419
27.5,30,28.75,ex4.231_3half+,4.21907,0.511496,0.287327,0.794424,0.0106412
27.5,30,28.75,ex4.841_1half+,4.94246,2.82227,0.604254,0.747608,0.0100318
27.5,30,28.75,ex5.91_3half+,5.98862,0.598344,0.440842,0.603532,0.0104811
27.5,30,28.75,ex6.30_5half+,6.36845,0.0248757,0.0471877,0.604104,0.01173
30,32.5,31.25,gs_3half+,0,0.112876,0.134523,0.830755,0.0134158
30,32.5,31.25,ex_1half+_217,0.218,0.477147,0.272992,0.830755,0.0134158
30,32.5,31.25,ex_5half+_335,0.35,0.194207,0.221577,0.830755,0.0134158
30,32.5,31.25,ex2.763_1half-,2.83219,0.443037,0.196536,0.818044,0.0113207
30,32.5,31.25,ex2.980_3half+,3.10579,0.176637,0.160071,0.79306,0.0119793
30,32.5,31.25,ex3.661_NEW,3.72273,0.979805,0.391322,0.691825,0.0093092
30,32.5,31.25,ex4.231_3half+,4.21907,0.465203,0.33656,0.573651,0.00891151
30,32.5,31.25,ex5.91_3half+,5.98862,0.0167027,0.0604572,0.683342,0.0108239
30,32.5,31.25,ex6.30_5half+,6.36845,0.0201933,7.33491,0.689981,0.012122
32.5,35,33.75,gs_3half+,0,0.323627,0.183945,0.80587,0.012745
32.5,35,33.75,ex_1half+_217,0.218,0.333846,0.265401,0.80587,0.012745
32.5,35,33.75,ex_5half+_335,0.35,0.452805,0.24723,0.80587,0.012745
32.5,35,33.75,ex2.763_1half-,2.83219,0.129176,0.168657,0.658457,0.00939947
32.5,35,33.75,ex2.980_3half+,3.10579,0.133909,0.193724,0.623234,0.00990599
32.5,35,33.75,ex3.661_NEW,3.72273,1.09203,0.460974,0.560767,0.0081183
32.5,35,33.75,ex4.231_3half+,4.21907,0.261711,0.305115,0.488838,0.00788167
32.5,35,33.75,ex5.91_3half+,5.98862,0.0139138,0.350126,0.765981,0.011065
32.5,35,33.75,ex6.30_5half+,6.36845,0.0168092,413.234,0.773992,0.0123938
35,37.5,36.25,gs_3half+,0,0.189156,0.146549,0.769455,0.012101
35,37.5,36.25,ex_1half+_217,0.218,0.47607,0.209731,0.769455,0.012101
35,37.5,36.25,ex_5half+_335,0.35,0.438374,0.192883,0.769455,0.012101
35,37.5,36.25,ex3.661_NEW,3.72273,0.0389529,2.33266,0.43707,0.00721989
35,37.5,36.25,ex4.231_3half+,4.21907,0.0223423,0.0364252,0.539986,0.00759743
35,37.5,36.25,ex4.841_1half+,4.94246,0.0143933,0.182932,0.696985,0.00860068
35,37.5,36.25,ex5.91_3half+,5.98862,0.0117606,1.51528,0.85145,0.0112041
35,37.5,36.25,ex6.30_5half+,6.36845,0.0142779,455.231,0.85614,0.0125453
37.5,40,38.75,gs_3half+,0,0.0676973,0.111074,0.623601,0.0103973
37.5,40,38.75,ex_1half+_217,0.218,0.154633,0.160952,0.623601,0.0103973
37.5,40,38.75,ex_5half+_335,0.35,0.489421,0.198587,0.623601,0.0103973
37.5,40,38.75,ex3.661_NEW,3.72273,0.022328,0.177263,0.499013,0.00738742
37.5,40,38.75,ex4.231_3half+,4.21907,0.0176513,2.55263,0.645697,0.0079244
37.5,40,38.75,ex4.841_1half+,4.94246,0.0110003,0.80194,0.861532,0.00959846
37.5,40,38.75,ex5.91_3half+,5.98862,0.0105929,4.28609,0.893033,0.0111801
37.5,40,38.75,ex6.30_5half+,6.36845,0.0129032,275.344,0.894965,0.012516
