state,bestL,tie,tieL,c2v_L0,c2v_L1,c2v_L2,c2v_L3,amp_L0,amp_L1,amp_L2,amp_L3
ex2.763_1half-,3,1,2,3.2650,1.6066,1.4208,1.4120,0.00373939,0.0013252,0.000284763,0.000622142
ex2.980_3half+,3,0,-1,3.8278,3.6597,3.0510,2.7296,0.000808136,0.00021763,0.00010901,0.000299247
ex3.661_NEW,2,1,3,3.6787,4.3526,1.3793,1.4470,0.0466162,0.00813322,0.00203527,0.00381886
ex4.231_3half+,2,0,-1,2.8711,2.1187,0.5757,1.3839,0.0722016,0.0131684,0.00285186,0.004769
ex4.841_1half+,0,0,-1,3.0890,7.3531,9.2287,11.5326,0.724032,0.113002,0.0186858,0.0281674
ex5.91_3half+,2,1,0,3.7308,4.2473,3.5491,5.1003,1.55683,0.260738,0.0391741,0.0516008
ex6.30_5half+,0,1,3,0.3412,0.7157,0.4118,0.4045,1.08363,0.142805,0.0254545,0.0362272
