1.00 79.332840
3.00 74.154958
5.00 64.714708
7.00 52.622566
9.00 39.775184
11.00 27.906237
13.00 18.253973
15.00 11.393750
17.00 7.235135
19.00 5.186397
21.00 4.448649
23.00 4.311737
25.00 4.300656
27.00 4.160496
29.00 3.796539
31.00 3.235830
33.00 2.584728
35.00 1.966900
37.00 1.472011
39.00 1.137043
41.00 0.952695
43.00 0.885799
45.00 0.904372
47.00 0.983428
49.00 1.095313
51.00 1.209445
53.00 1.303503
55.00 1.368060
57.00 1.399693
59.00 1.394850
61.00 1.352879
63.00 1.280015
65.00 1.185317
67.00 1.075157
69.00 0.954687
71.00 0.831156
73.00 0.711246
75.00 0.596999
77.00 0.488755
79.00 0.390283
81.00 0.306579
83.00 0.238787
85.00 0.185465
87.00 0.146720
89.00 0.123581
91.00 0.114940
93.00 0.118054
95.00 0.131272
97.00 0.153930
99.00 0.184001
101.00 0.217935
103.00 0.252448
105.00 0.284770
107.00 0.312003
109.00 0.331907
111.00 0.343567
113.00 0.346433
115.00 0.340033
117.00 0.325325
119.00 0.304695
121.00 0.279933
123.00 0.251786
125.00 0.221753
127.00 0.192240
129.00 0.164524
131.00 0.138642
133.00 0.115430
135.00 0.096381
137.00 0.081515
139.00 0.069894
141.00 0.062046
143.00 0.059133
145.00 0.060101
147.00 0.062737
149.00 0.067246
151.00 0.075290
153.00 0.085747
155.00 0.095537
157.00 0.104828
159.00 0.116783
161.00 0.131343
163.00 0.144433
165.00 0.155049
167.00 0.167414
169.00 0.183028
171.00 0.196448
173.00 0.203717
175.00 0.209576
177.00 0.219691
179.00 0.229533
