1.00 460.803026
3.00 445.799828
5.00 417.292990
7.00 377.951284
9.00 331.104877
11.00 280.247767
13.00 228.677107
15.00 179.300923
17.00 134.541327
19.00 96.213542
21.00 65.351250
23.00 42.100582
25.00 25.820017
27.00 15.363590
29.00 9.391198
31.00 6.587602
33.00 5.788772
35.00 6.061811
37.00 6.750893
39.00 7.470078
41.00 8.041265
43.00 8.411261
45.00 8.588804
47.00 8.615098
49.00 8.552128
51.00 8.469205
53.00 8.424792
55.00 8.452980
57.00 8.560408
59.00 8.730986
61.00 8.933983
63.00 9.132983
65.00 9.293228
67.00 9.385418
69.00 9.386900
71.00 9.282364
73.00 9.064278
75.00 8.732616
77.00 8.294764
79.00 7.766041
81.00 7.169137
83.00 6.531217
85.00 5.880194
87.00 5.242171
89.00 4.639952
91.00 4.091707
93.00 3.610238
95.00 3.203448
97.00 2.875047
99.00 2.624469
101.00 2.446864
103.00 2.334260
105.00 2.277053
107.00 2.264484
109.00 2.284658
111.00 2.325406
113.00 2.375476
115.00 2.424766
117.00 2.463968
119.00 2.484984
121.00 2.481844
123.00 2.450868
125.00 2.390211
127.00 2.299969
129.00 2.182707
131.00 2.043256
133.00 1.887896
135.00 1.724034
137.00 1.560259
139.00 1.405687
141.00 1.268756
143.00 1.156727
145.00 1.075826
147.00 1.030796
149.00 1.023868
151.00 1.054635
153.00 1.120983
155.00 1.219456
157.00 1.344699
159.00 1.489615
161.00 1.646817
163.00 1.809587
165.00 1.971331
167.00 2.125239
169.00 2.265452
171.00 2.388050
173.00 2.490180
175.00 2.568852
177.00 2.621583
179.00 2.647687
