bin_lo,bin_hi,bin_center,state,Ex_MeV,dsdo_mbsr,dsdo_err_mbsr,eff,eff_err
10,15,12.5,gs_3half+,0,0.747322,0.267655,0.828543,0.020441
10,15,12.5,ex_1half+_217,0.218,1.36805,0.329791,0.828543,0.020441
10,15,12.5,ex_5half+_335,0.35,0.000965378,0.158777,0.828543,0.020441
10,15,12.5,ex2.763_1half-,2.8,0.655932,0.293803,0.812318,0.0167557
10,15,12.5,ex2.980_3half+,3.02,0.719613,0.339112,0.814125,0.0199335
10,15,12.5,ex3.661_NEW,3.68855,2.64226,0.567977,0.794196,0.0154667
10,15,12.5,ex4.231_3half+,4.23961,4.62419,0.825978,0.699736,0.0151544
15,20,17.5,gs_3half+,0,0.0815256,0.11925,0.796656,0.017599
15,20,17.5,ex_1half+_217,0.218,0.681676,0.278829,0.796656,0.017599
15,20,17.5,ex_5half+_335,0.35,0.0265668,0.355256,0.796656,0.017599
15,20,17.5,ex2.763_1half-,2.8,0.50808,0.241848,0.816474,0.0141152
15,20,17.5,ex2.980_3half+,3.02,1.39122,0.347396,0.813615,0.0167421
15,20,17.5,ex3.661_NEW,3.68855,1.95697,0.412009,0.832143,0.0132888
15,20,17.5,ex4.231_3half+,4.23961,4.07215,0.561703,0.84097,0.0134632
15,20,17.5,ex4.841_1half+,4.93255,1.96005,0.50768,0.849044,0.0131123
15,20,17.5,ex5.91_3half+,5.97539,6.54168,0.962577,0.846813,0.0138895
15,20,17.5,ex6.30_5half+,6.35494,0.449538,0.50867,0.850181,0.017519
20,25,22.5,gs_3half+,0,0.333638,0.137487,0.860641,0.01584
20,25,22.5,ex_1half+_217,0.218,0.152208,0.171105,0.860641,0.01584
20,25,22.5,ex_5half+_335,0.35,0.203057,0.148628,0.860641,0.01584
20,25,22.5,ex2.763_1half-,2.8,0.513264,0.185264,0.847039,0.0130674
20,25,22.5,ex2.980_3half+,3.02,0.410607,0.199,0.845595,0.0155567
20,25,22.5,ex3.661_NEW,3.68855,1.14631,0.28731,0.853724,0.0118642
20,25,22.5,ex4.231_3half+,4.23961,1.91039,0.371481,0.856152,0.0119373
20,25,22.5,ex4.841_1half+,4.93255,1.64542,0.402883,0.859872,0.0118288
20,25,22.5,ex5.91_3half+,5.97539,3.86732,0.669908,0.870548,0.0126659
20,25,22.5,ex6.30_5half+,6.35494,0.396175,0.354925,0.870816,0.01599
25,30,27.5,gs_3half+,0,0.36879,0.128991,0.850787,0.014462
25,30,27.5,ex_1half+_217,0.218,0.146092,0.155239,0.850787,0.014462
25,30,27.5,ex_5half+_335,0.35,0.131212,0.131257,0.850787,0.014462
25,30,27.5,ex2.763_1half-,2.8,0.547115,0.171606,0.835425,0.0117876
25,30,27.5,ex2.980_3half+,3.02,0.522849,0.186692,0.845121,0.0140309
25,30,27.5,ex3.661_NEW,3.68855,1.14458,0.228951,0.896813,0.0111735
25,30,27.5,ex4.231_3half+,4.23961,1.35614,0.26873,0.903303,0.0112981
25,30,27.5,ex4.841_1half+,4.93255,1.4187,0.282388,0.915415,0.0111963
25,30,27.5,ex5.91_3half+,5.97539,3.4712,0.622405,0.566489,0.00917137
25,30,27.5,ex6.30_5half+,6.35494,0.071844,0.35806,0.561166,0.011534
30,35,32.5,gs_3half+,0,0.322367,0.120297,0.824078,0.013067
30,35,32.5,ex_1half+_217,0.218,0.357426,0.187932,0.824078,0.013067
30,35,32.5,ex_5half+_335,0.35,0.442673,0.170711,0.824078,0.013067
30,35,32.5,ex2.763_1half-,2.8,0.110983,0.115185,0.814201,0.0107394
30,35,32.5,ex2.980_3half+,3.02,0.41106,0.163945,0.794475,0.012735
30,35,32.5,ex3.661_NEW,3.68855,0.909878,0.26902,0.630976,0.0084685
30,35,32.5,ex4.231_3half+,4.23961,1.08056,0.382677,0.454683,0.00783575
30,35,32.5,ex4.841_1half+,4.93255,1.55919,0.856279,0.231426,0.00515412
30,35,32.5,ex5.91_3half+,5.97539,0.00702489,0.0184876,0.712002,0.00971446
30,35,32.5,ex6.30_5half+,6.35494,0.0086804,0.0750278,0.732919,0.012318
35,40,37.5,gs_3half+,0,0.241015,0.0956247,0.751247,0.011779
35,40,37.5,ex_1half+_217,0.218,0.234789,0.122319,0.751247,0.011779
35,40,37.5,ex_5half+_335,0.35,0.582389,0.136821,0.751247,0.011779
35,40,37.5,ex2.763_1half-,2.8,0.0282478,0.163812,0.210035,0.00447513
35,40,37.5,ex3.661_NEW,3.68855,0.0159558,0.0433877,0.363985,0.00654227
35,40,37.5,ex4.231_3half+,4.23961,0.00990673,0.0160244,0.57486,0.00743715
35,40,37.5,ex4.841_1half+,4.93255,0.00644476,0.0704438,0.850281,0.00936213
35,40,37.5,ex5.91_3half+,5.97539,0.00495651,0.194997,0.890663,0.00999506
35,40,37.5,ex6.30_5half+,6.35494,0.00625849,2.84949,0.897213,0.012621
