bin_lo,bin_hi,bin_center,state,Ex_MeV,counts,counts_err
10,15,12.5,gs_3half+,0,23.2853,6.77753
10,15,12.5,ex_1half+_217,0.218,42.6261,7.86502
10,15,12.5,ex_5half+_335,0.35,0.0300795,4.94418
10,15,12.5,ex2.763_1half-,2.8,20.0375,7.76817
10,15,12.5,ex2.980_3half+,3.02,22.0317,9.24495
10,15,12.5,ex3.661_NEW,3.68855,78.9154,14.3696
10,15,12.5,ex4.231_3half+,4.23961,121.683,18.5415
10,15,12.5,ex4.841_1half+,4.93255,181.008,23.3817
10,15,12.5,ex5.91_3half+,5.97539,269.987,36.675
10,15,12.5,ex6.30_5half+,6.35494,54.021,20.2731
15,20,17.5,gs_3half+,0,3.39335,4.60848
15,20,17.5,ex_1half+_217,0.218,28.3735,10.2921
15,20,17.5,ex_5half+_335,0.35,1.10579,14.7494
15,20,17.5,ex2.763_1half-,2.8,21.674,9.19913
15,20,17.5,ex2.980_3half+,3.02,59.1397,12.5483
15,20,17.5,ex3.661_NEW,3.68855,85.0835,15.2953
15,20,17.5,ex4.231_3half+,4.23961,178.924,20.5424
15,20,17.5,ex4.841_1half+,4.93255,86.9482,20.4557
15,20,17.5,ex5.91_3half+,5.97539,289.428,38.7527
15,20,17.5,ex6.30_5half+,6.35494,19.9683,22.1449
20,25,22.5,gs_3half+,0,19.0923,6.5333
20,25,22.5,ex_1half+_217,0.218,8.71005,9.33471
20,25,22.5,ex_5half+_335,0.35,11.6199,7.78925
20,25,22.5,ex2.763_1half-,2.8,28.9072,8.9311
20,25,22.5,ex2.980_3half+,3.02,23.0861,10.0955
20,25,22.5,ex3.661_NEW,3.68855,65.0703,14.1456
20,25,22.5,ex4.231_3half+,4.23961,108.751,18.3343
20,25,22.5,ex4.841_1half+,4.93255,94.0746,20.8525
20,25,22.5,ex5.91_3half+,5.97539,223.854,35.6253
20,25,22.5,ex6.30_5half+,6.35494,22.9391,19.9803
25,30,27.5,gs_3half+,0,25.1726,7.22253
25,30,27.5,ex_1half+_217,0.218,9.97184,10.1133
25,30,27.5,ex_5half+_335,0.35,8.95619,8.44327
25,30,27.5,ex2.763_1half-,2.8,36.6702,9.76494
25,30,27.5,ex2.980_3half+,3.02,35.4505,11.155
25,30,27.5,ex3.661_NEW,3.68855,82.3522,13.7097
25,30,27.5,ex4.231_3half+,4.23961,98.2804,16.7178
25,30,27.5,ex4.841_1half+,4.93255,104.192,18.0083
25,30,27.5,ex5.91_3half+,5.97539,157.761,25.2169
25,30,27.5,ex6.30_5half+,6.35494,3.23452,16.0196
30,35,32.5,gs_3half+,0,24.8004,7.79061
30,35,32.5,ex_1half+_217,0.218,27.4975,13.4664
30,35,32.5,ex_5half+_335,0.35,34.0557,11.7529
30,35,32.5,ex2.763_1half-,2.8,8.4358,8.25865
30,35,32.5,ex2.980_3half+,3.02,30.4877,10.8226
30,35,32.5,ex3.661_NEW,3.68855,53.5963,14.0357
30,35,32.5,ex4.231_3half+,4.23961,45.8663,14.7431
30,35,32.5,ex4.841_1half+,4.93255,33.686,17.5497
30,35,32.5,ex5.91_3half+,5.97539,0.466938,1.02132
30,35,32.5,ex6.30_5half+,6.35494,0.593929,5.07535
35,40,37.5,gs_3half+,0,19.1512,6.20437
35,40,37.5,ex_1half+_217,0.218,18.6565,8.70214
35,40,37.5,ex_5half+_335,0.35,46.277,8.44955
35,40,37.5,ex2.763_1half-,2.8,0.627547,3.55191
35,40,37.5,ex2.980_3half+,3.02,0.628825,1.6299
35,40,37.5,ex3.661_NEW,3.68855,0.614287,1.47507
35,40,37.5,ex4.231_3half+,4.23961,0.602368,0.589003
35,40,37.5,ex4.841_1half+,4.93255,0.579613,6.28949
35,40,37.5,ex5.91_3half+,5.97539,0.466938,18.3573
35,40,37.5,ex6.30_5half+,6.35494,0.593929,270.414
