variant,state,bestL,tie,tieL,flipped_vs_nominal,c2v_L0,c2v_L1,c2v_L2,c2v_L3
strict_ps2n_x3.00,ex2.980_3half+,3,1,2,0,2.2669,2.1087,1.6763,1.5107
strict_ps2n_x3.00,ex3.661_NEW,2,1,3,0,2.3684,2.7367,0.8264,0.9417
strict_ps2n_x3.00,ex4.231_3half+,2,0,-1,0,2.4100,1.9160,0.4376,1.0589
strict_ps2n_x3.00,ex4.841_1half+,0,0,-1,0,2.1773,5.1896,6.0253,7.5201
strict_ps2n_x3.00,ex5.91_3half+,2,0,-1,0,2.3017,3.6291,2.0014,2.7756
strict_ps2n_x3.00,ex6.30_5half+,3,1,0,1,0.3934,0.7029,0.4082,0.3713
strict_bg_x0.30,ex2.763_1half-,2,1,3,1,4.0219,2.3112,1.6029,1.7735
strict_bg_x0.30,ex2.980_3half+,3,1,2,0,2.2067,2.0534,1.6271,1.4625
strict_bg_x0.30,ex3.661_NEW,2,1,3,0,2.3403,2.7478,0.8351,0.9384
strict_bg_x0.30,ex4.231_3half+,2,0,-1,0,2.3990,1.9128,0.4319,1.0491
strict_bg_x0.30,ex4.841_1half+,0,0,-1,0,2.1588,5.2219,5.9801,7.3694
strict_bg_x0.30,ex5.91_3half+,2,1,0,0,2.3650,3.3857,2.2253,3.2423
strict_bg_x0.30,ex6.30_5half+,0,1,2,0,0.3185,0.6079,0.4186,0.4508
strict_bg_x3.00,ex2.763_1half-,2,1,3,1,4.0273,2.3141,1.6046,1.7755
strict_bg_x3.00,ex2.980_3half+,3,1,2,0,2.2118,2.0570,1.6288,1.4658
strict_bg_x3.00,ex3.661_NEW,2,1,3,0,2.3296,2.7463,0.8335,0.9378
strict_bg_x3.00,ex4.231_3half+,2,0,-1,0,2.4172,1.9180,0.4358,1.0758
strict_bg_x3.00,ex4.841_1half+,0,0,-1,0,2.1426,5.2132,5.9450,7.3029
strict_bg_x3.00,ex5.91_3half+,2,1,0,0,2.3600,3.4056,2.2200,3.2527
strict_bg_x3.00,ex6.30_5half+,0,1,2,0,0.3193,0.6081,0.4188,0.4503
strict_L_s0_L3,ex2.763_1half-,2,1,3,1,3.9955,2.1526,1.5321,1.6687
strict_L_s0_L3,ex2.980_3half+,3,1,2,0,2.9195,2.6952,2.0425,1.7564
strict_L_s0_L3,ex3.661_NEW,2,1,3,0,2.3163,2.7553,0.8396,0.9289
strict_L_s0_L3,ex4.231_3half+,2,0,-1,0,2.4339,1.9326,0.4393,1.0771
strict_L_s0_L3,ex4.841_1half+,0,0,-1,0,2.1386,5.1946,5.9385,7.3230
strict_L_s0_L3,ex5.91_3half+,2,1,0,0,2.3669,3.3884,2.2272,3.2516
strict_L_s0_L3,ex6.30_5half+,0,1,2,0,0.3191,0.6094,0.4200,0.4526
strict_L_s1_L0,ex2.763_1half-,2,1,3,1,4.0167,2.3095,1.6022,1.7725
strict_L_s1_L0,ex2.980_3half+,3,1,2,0,2.2042,2.0514,1.6255,1.4604
strict_L_s1_L0,ex3.661_NEW,2,1,3,0,2.3464,2.7513,0.8354,0.9399
strict_L_s1_L0,ex4.231_3half+,2,0,-1,0,2.3960,1.9116,0.4312,1.0460
strict_L_s1_L0,ex4.841_1half+,0,0,-1,0,2.1594,5.2202,5.9827,7.3764
strict_L_s1_L0,ex5.91_3half+,2,1,0,0,2.3632,3.3861,2.2250,3.2391
strict_L_s1_L0,ex6.30_5half+,0,1,2,0,0.3187,0.6085,0.4191,0.4516
strict_L_s1_L3,ex2.763_1half-,2,1,3,1,4.0305,2.3148,1.6048,1.7757
strict_L_s1_L3,ex2.980_3half+,3,1,2,0,2.2117,2.0576,1.6301,1.4659
strict_L_s1_L3,ex3.661_NEW,2,1,3,0,2.3323,2.7425,0.8352,0.9363
strict_L_s1_L3,ex4.231_3half+,2,0,-1,0,2.3995,1.9135,0.4319,1.0488
strict_L_s1_L3,ex4.841_1half+,0,0,-1,0,2.1598,5.2231,5.9809,7.3711
strict_L_s1_L3,ex5.91_3half+,2,1,0,0,2.3595,3.3864,2.2213,3.2339
strict_L_s1_L3,ex6.30_5half+,0,1,2,0,0.3187,0.6089,0.4191,0.4515
strict_L_s2_L0,ex2.763_1half-,2,1,3,1,4.0497,2.3361,1.6210,1.7939
strict_L_s2_L0,ex2.980_3half+,3,1,2,0,2.5802,2.3937,1.8822,1.6751
strict_L_s2_L0,ex3.661_NEW,2,1,3,0,2.2453,2.7001,0.8434,0.9044
strict_L_s2_L0,ex4.231_3half+,2,0,-1,0,2.5553,2.0091,0.4635,1.1652
strict_L_s2_L0,ex4.841_1half+,0,0,-1,0,2.1215,5.2425,5.9391,7.3077
strict_L_s2_L0,ex5.91_3half+,2,1,0,0,2.3440,3.3955,2.2137,3.2274
strict_L_s2_L0,ex6.30_5half+,0,1,2,0,0.3205,0.6122,0.4218,0.4544
strict_L_s2_L3,ex2.763_1half-,2,1,3,1,3.9971,2.2783,1.5770,1.7447
strict_L_s2_L3,ex2.980_3half+,3,1,2,0,2.2201,2.0717,1.6470,1.5018
strict_L_s2_L3,ex3.661_NEW,2,1,3,0,2.4947,2.8149,0.8303,1.0110
strict_L_s2_L3,ex4.231_3half+,2,0,-1,0,2.1548,1.7647,0.3858,0.8827
strict_L_s2_L3,ex4.841_1half+,0,0,-1,0,2.2291,5.1508,5.9942,7.3764
strict_L_s2_L3,ex5.91_3half+,2,1,0,0,2.4064,3.3358,2.2500,3.2715
strict_L_s2_L3,ex6.30_5half+,0,1,2,0,0.3159,0.6045,0.4152,0.4473
strict_L_s3_L0,ex2.763_1half-,2,1,3,1,4.0114,2.3067,1.6006,1.7706
strict_L_s3_L0,ex2.980_3half+,3,1,2,0,2.1969,2.0463,1.6232,1.4557
strict_L_s3_L0,ex3.661_NEW,2,1,3,0,2.3342,2.7268,0.8366,0.9387
strict_L_s3_L0,ex4.231_3half+,2,0,-1,0,2.3769,1.9213,0.4212,0.9980
strict_L_s3_L0,ex4.841_1half+,0,0,-1,0,2.1726,5.2296,6.0434,7.4922
strict_L_s3_L0,ex5.91_3half+,2,1,0,0,2.3737,3.3860,2.2326,3.2394
strict_L_s3_L0,ex6.30_5half+,0,1,2,0,0.3179,0.6067,0.4187,0.4517
strict_L_s4_L0,ex2.763_1half-,2,1,3,1,3.6429,1.8937,1.3894,1.4926
strict_L_s4_L0,ex2.980_3half+,3,1,2,0,2.6017,2.4272,1.9363,1.7267
strict_L_s4_L0,ex3.661_NEW,2,1,3,0,2.2878,2.6991,0.8283,0.9079
strict_L_s4_L0,ex4.231_3half+,2,0,-1,0,2.5421,1.9415,0.4766,1.2310
strict_L_s4_L0,ex4.841_1half+,0,0,-1,0,2.0294,5.1891,5.7371,6.9274
strict_L_s4_L0,ex5.91_3half+,2,1,0,0,2.3228,3.5860,2.1905,3.3381
strict_L_s4_L0,ex6.30_5half+,0,1,2,0,0.3251,0.6109,0.4216,0.4496
strict_L_s5_L3,ex2.763_1half-,2,1,3,1,4.0167,2.2924,1.5895,1.7575
strict_L_s5_L3,ex2.980_3half+,3,1,2,0,2.2229,2.0651,1.6316,1.4674
strict_L_s5_L3,ex3.661_NEW,2,1,3,0,2.3350,2.7463,0.8271,0.9364
strict_L_s5_L3,ex4.231_3half+,2,0,-1,0,2.4127,1.9041,0.4383,1.0730
strict_L_s5_L3,ex4.841_1half+,0,0,-1,0,2.1170,5.3956,6.0345,7.4245
strict_L_s5_L3,ex5.91_3half+,2,1,0,0,2.5402,3.1271,2.3088,3.4793
strict_L_s5_L3,ex6.30_5half+,0,1,2,0,0.3178,0.5964,0.4034,0.4248
strict_L_s6_L3,ex2.763_1half-,2,1,3,1,4.0221,2.3115,1.6031,1.7737
strict_L_s6_L3,ex2.980_3half+,3,1,2,0,2.2067,2.0534,1.6270,1.4624
strict_L_s6_L3,ex3.661_NEW,2,1,3,0,2.3404,2.7477,0.8354,0.9382
strict_L_s6_L3,ex4.231_3half+,2,0,-1,0,2.3985,1.9130,0.4317,1.0479
strict_L_s6_L3,ex4.841_1half+,0,0,-1,0,2.1592,5.2210,5.9813,7.3736
strict_L_s6_L3,ex5.91_3half+,2,1,0,0,2.3602,3.3872,2.2226,3.2350
strict_L_s6_L3,ex6.30_5half+,0,1,2,0,0.3187,0.6090,0.4193,0.4518
strict_contam,ex2.763_1half-,3,1,2,0,2.5609,1.2370,1.1111,1.1063
strict_contam,ex2.980_3half+,3,1,2,0,2.3362,2.1487,1.6198,1.3932
strict_contam,ex3.661_NEW,2,1,3,0,2.4620,2.7895,0.8042,0.9590
strict_contam,ex4.231_3half+,2,0,-1,0,2.2649,1.8565,0.4056,0.8981
strict_contam,ex4.841_1half+,0,0,-1,0,2.1747,5.0689,5.9101,7.2894
strict_contam,ex5.91_3half+,2,1,0,0,2.4091,3.3000,2.1708,3.1537
strict_contam,ex6.30_5half+,0,1,2,0,0.3097,0.5904,0.4008,0.4271
strict_contam_bw_g0.70,ex2.763_1half-,2,1,3,1,3.4207,2.0408,1.4480,1.5836
strict_contam_bw_g0.70,ex2.980_3half+,3,1,2,0,2.9148,2.6719,2.0474,1.8252
strict_contam_bw_g0.70,ex3.661_NEW,2,1,3,0,1.8463,2.5113,0.8428,0.8486
strict_contam_bw_g0.70,ex4.231_3half+,2,0,-1,0,2.8064,2.0106,0.6023,1.7186
strict_contam_bw_g0.70,ex4.841_1half+,0,0,-1,0,1.9649,5.0173,5.2835,6.0662
strict_contam_bw_g0.70,ex5.91_3half+,2,1,0,0,2.3384,3.4363,2.0484,3.3099
strict_contam_bw_g0.70,ex6.30_5half+,0,1,2,0,0.3440,0.6224,0.4219,0.4329
strict_contam_bw_g0.85,ex2.763_1half-,2,1,3,1,3.1553,1.4879,1.2145,1.2470
strict_contam_bw_g0.85,ex2.980_3half+,3,1,2,0,2.4809,2.2761,1.6974,1.4546
strict_contam_bw_g0.85,ex3.661_NEW,2,1,3,0,2.3191,2.7603,0.7971,0.9361
strict_contam_bw_g0.85,ex4.231_3half+,2,0,-1,0,2.4618,1.8991,0.4552,1.1863
strict_contam_bw_g0.85,ex4.841_1half+,0,0,-1,0,2.0586,5.0632,5.6208,6.7209
strict_contam_bw_g0.85,ex5.91_3half+,2,1,0,0,2.3611,3.3892,2.1018,3.1932
strict_contam_bw_g0.85,ex6.30_5half+,0,1,2,0,0.3216,0.6009,0.4059,0.4251
strict_contam_bw_g1.15,ex2.763_1half-,3,1,2,0,2.2020,1.1165,1.0713,1.0462
strict_contam_bw_g1.15,ex2.980_3half+,3,1,2,0,2.3011,2.1176,1.5961,1.3692
strict_contam_bw_g1.15,ex3.661_NEW,2,1,3,0,1.3445,2.2798,0.7873,0.9113
strict_contam_bw_g1.15,ex4.231_3half+,2,0,-1,0,2.3560,1.9200,0.4320,0.8910
strict_contam_bw_g1.15,ex4.841_1half+,0,0,-1,0,1.1688,3.4357,2.6220,3.5525
strict_contam_bw_g1.15,ex5.91_3half+,2,1,0,0,2.3960,3.2281,2.1952,3.0750
strict_contam_bw_g1.15,ex6.30_5half+,0,1,2,0,0.3088,0.6021,0.4071,0.4380
strict_contam_bw_g1.30,ex2.763_1half-,3,1,2,0,2.2048,1.1134,1.0733,1.0469
strict_contam_bw_g1.30,ex2.980_3half+,3,1,2,0,2.2436,2.0255,1.4435,1.2254
strict_contam_bw_g1.30,ex3.661_NEW,2,1,3,0,2.3175,2.6461,0.8007,0.8974
strict_contam_bw_g1.30,ex4.231_3half+,2,0,-1,0,2.3795,1.9125,0.4420,0.9609
strict_contam_bw_g1.30,ex4.841_1half+,0,0,-1,0,2.2096,5.0631,5.9184,7.3772
strict_contam_bw_g1.30,ex5.91_3half+,2,1,0,0,2.3718,3.1969,2.1698,3.0721
strict_contam_bw_g1.30,ex6.30_5half+,0,1,2,0,0.3092,0.6025,0.4074,0.4381
strict_contam_no_3661,ex2.763_1half-,3,1,2,0,2.2587,1.3317,1.2658,1.2522
strict_contam_no_3661,ex2.980_3half+,2,1,3,1,1.9743,1.5042,1.1324,1.3711
strict_contam_no_3661,ex3.661_NEW,-1,0,-1,1,nan,nan,nan,nan
strict_contam_no_3661,ex4.231_3half+,2,0,-1,0,4.4596,3.8401,0.9446,2.3780
strict_contam_no_3661,ex4.841_1half+,0,0,-1,0,2.2796,4.8684,5.3441,6.1148
strict_contam_no_3661,ex5.91_3half+,2,1,0,0,2.6237,2.8720,2.3300,3.5382
strict_contam_no_3661,ex6.30_5half+,0,1,2,0,0.3057,0.5827,0.3983,0.4226
strict_contam_ps1n_x0.30,ex2.763_1half-,3,1,2,0,2.5763,1.2431,1.1158,1.1115
strict_contam_ps1n_x0.30,ex2.980_3half+,3,1,2,0,2.3317,2.1445,1.6169,1.3911
strict_contam_ps1n_x0.30,ex3.661_NEW,2,1,3,0,2.4895,2.7975,0.8021,0.9615
strict_contam_ps1n_x0.30,ex4.231_3half+,2,0,-1,0,2.2382,1.8562,0.3990,0.8546
strict_contam_ps1n_x0.30,ex4.841_1half+,0,0,-1,0,2.1718,5.0374,5.9172,7.2901
strict_contam_ps1n_x0.30,ex5.91_3half+,2,1,0,0,2.4906,3.2869,2.2160,3.2579
strict_contam_ps1n_x0.30,ex6.30_5half+,0,1,2,0,0.3065,0.5751,0.3934,0.4178
strict_contam_ps1n_x3.00,ex2.763_1half-,3,1,2,0,2.5475,1.2324,1.1104,1.1046
strict_contam_ps1n_x3.00,ex2.980_3half+,3,1,2,0,2.3335,2.1453,1.6149,1.3885
strict_contam_ps1n_x3.00,ex3.661_NEW,2,1,3,0,2.4615,2.7884,0.8042,0.9583
strict_contam_ps1n_x3.00,ex4.231_3half+,2,0,-1,0,2.2656,1.8582,0.4056,0.8959
strict_contam_ps1n_x3.00,ex4.841_1half+,0,0,-1,0,2.1740,5.0652,5.9120,7.2918
strict_contam_ps1n_x3.00,ex5.91_3half+,2,1,0,0,2.4148,3.3011,2.1739,3.1610
strict_contam_ps1n_x3.00,ex6.30_5half+,0,1,2,0,0.3095,0.5893,0.4003,0.4265
strict_contam_ps2n_x0.30,ex2.763_1half-,3,1,2,0,2.5557,1.2356,1.1120,1.1066
strict_contam_ps2n_x0.30,ex2.980_3half+,3,1,2,0,2.3301,2.1432,1.6161,1.3903
strict_contam_ps2n_x0.30,ex3.661_NEW,2,1,3,0,2.4825,2.7985,0.8038,0.9635
strict_contam_ps2n_x0.30,ex4.231_3half+,2,0,-1,0,2.2439,1.8552,0.4003,0.8669
strict_contam_ps2n_x0.30,ex4.841_1half+,0,0,-1,0,2.1749,5.0448,5.9289,7.3185
strict_contam_ps2n_x0.30,ex5.91_3half+,2,1,0,0,2.4479,3.3072,2.1923,3.2021
strict_contam_ps2n_x0.30,ex6.30_5half+,0,1,2,0,0.3084,0.5831,0.3976,0.4232
strict_contam_ps2n_x3.00,ex2.763_1half-,3,1,2,0,2.5300,1.2351,1.1311,1.1215
strict_contam_ps2n_x3.00,ex2.980_3half+,3,1,2,0,2.4161,2.2239,1.6938,1.4673
strict_contam_ps2n_x3.00,ex3.661_NEW,2,1,3,0,2.5522,2.7962,0.7880,0.9765
strict_contam_ps2n_x3.00,ex4.231_3half+,2,0,-1,0,2.2288,1.8469,0.3993,0.8617
strict_contam_ps2n_x3.00,ex4.841_1half+,0,0,-1,0,2.2077,5.0346,6.0119,7.6076
strict_contam_ps2n_x3.00,ex5.91_3half+,2,0,-1,0,2.3882,3.5536,2.0239,2.8662
strict_contam_ps2n_x3.00,ex6.30_5half+,3,1,0,1,0.3814,0.6758,0.3955,0.3605
strict_contam_bg_x0.30,ex2.763_1half-,3,1,2,0,2.5480,1.2322,1.1102,1.1044
strict_contam_bg_x0.30,ex2.980_3half+,3,1,2,0,2.3382,2.1481,1.6131,1.3857
strict_contam_bg_x0.30,ex3.661_NEW,2,1,3,0,2.4420,2.7790,0.8042,0.9532
strict_contam_bg_x0.30,ex4.231_3half+,2,0,-1,0,2.2854,1.8613,0.4106,0.9222
strict_contam_bg_x0.30,ex4.841_1half+,0,0,-1,0,2.1727,5.0806,5.8952,7.2662
strict_contam_bg_x0.30,ex5.91_3half+,2,1,0,0,2.3880,3.2972,2.1591,3.1276
strict_contam_bg_x0.30,ex6.30_5half+,0,1,2,0,0.3107,0.5949,0.4029,0.4295
strict_contam_bg_x3.00,ex2.763_1half-,3,1,2,0,2.5505,1.2333,1.1107,1.1051
strict_contam_bg_x3.00,ex2.980_3half+,3,1,2,0,2.3355,2.1465,1.6141,1.3873
strict_contam_bg_x3.00,ex3.661_NEW,2,1,3,0,2.4549,2.7852,0.8042,0.9566
strict_contam_bg_x3.00,ex4.231_3half+,2,0,-1,0,2.2720,1.8592,0.4072,0.9042
strict_contam_bg_x3.00,ex4.841_1half+,0,0,-1,0,2.1736,5.0697,5.9064,7.2836
strict_contam_bg_x3.00,ex5.91_3half+,2,1,0,0,2.4061,3.3000,2.1692,3.1504
strict_contam_bg_x3.00,ex6.30_5half+,0,1,2,0,0.3099,0.5911,0.4012,0.4275
strict_contam_L_s0_L3,ex2.763_1half-,2,1,3,1,2.6294,1.2540,1.1043,1.1051
strict_contam_L_s0_L3,ex2.980_3half+,3,1,2,0,2.2380,2.0684,1.5915,1.3810
strict_contam_L_s0_L3,ex3.661_NEW,2,1,3,0,2.4082,2.7485,0.8193,0.9819
strict_contam_L_s0_L3,ex4.231_3half+,2,0,-1,0,2.2490,1.8437,0.4022,0.8965
strict_contam_L_s0_L3,ex4.841_1half+,0,0,-1,0,2.2107,5.0986,5.9298,7.3004
strict_contam_L_s0_L3,ex5.91_3half+,2,1,0,0,2.4127,3.3330,2.1773,3.1394
strict_contam_L_s0_L3,ex6.30_5half+,0,1,2,0,0.3102,0.5936,0.4006,0.4261
strict_contam_L_s1_L0,ex2.763_1half-,3,1,2,0,2.5406,1.2303,1.1090,1.1031
strict_contam_L_s1_L0,ex2.980_3half+,3,1,2,0,2.3357,2.1470,1.6154,1.3886
strict_contam_L_s1_L0,ex3.661_NEW,2,1,3,0,2.4562,2.7863,0.8044,0.9573
strict_contam_L_s1_L0,ex4.231_3half+,2,0,-1,0,2.2745,1.8589,0.4079,0.9088
strict_contam_L_s1_L0,ex4.841_1half+,0,0,-1,0,2.1733,5.0730,5.9035,7.2798
strict_contam_L_s1_L0,ex5.91_3half+,2,1,0,0,2.4010,3.2987,2.1667,3.1446
strict_contam_L_s1_L0,ex6.30_5half+,0,1,2,0,0.3101,0.5923,0.4017,0.4282
strict_contam_L_s1_L3,ex2.763_1half-,3,1,2,0,2.5646,1.2373,1.1129,1.1076
strict_contam_L_s1_L3,ex2.980_3half+,3,1,2,0,2.3406,2.1499,1.6133,1.3856
strict_contam_L_s1_L3,ex3.661_NEW,2,1,3,0,2.4410,2.7782,0.8038,0.9526
strict_contam_L_s1_L3,ex4.231_3half+,2,0,-1,0,2.2800,1.8610,0.4092,0.9140
strict_contam_L_s1_L3,ex4.841_1half+,0,0,-1,0,2.1742,5.0769,5.9012,7.2746
strict_contam_L_s1_L3,ex5.91_3half+,2,1,0,0,2.3967,3.2999,2.1636,3.1379
strict_contam_L_s1_L3,ex6.30_5half+,0,1,2,0,0.3103,0.5930,0.4019,0.4283
strict_contam_L_s2_L0,ex2.763_1half-,3,1,2,0,2.2992,1.1484,1.0737,1.0568
strict_contam_L_s2_L0,ex2.980_3half+,3,1,2,0,2.2974,2.1170,1.6093,1.3891
strict_contam_L_s2_L0,ex3.661_NEW,2,1,3,0,2.4071,2.7684,0.8017,0.9326
strict_contam_L_s2_L0,ex4.231_3half+,2,0,-1,0,2.3678,1.9220,0.4234,0.9617
strict_contam_L_s2_L0,ex4.841_1half+,0,0,-1,0,2.1450,5.0863,5.8965,7.2844
strict_contam_L_s2_L0,ex5.91_3half+,2,1,0,0,2.3894,3.3145,2.1572,3.1367
strict_contam_L_s2_L0,ex6.30_5half+,0,1,2,0,0.3109,0.5928,0.4028,0.4294
strict_contam_L_s2_L3,ex2.763_1half-,2,1,3,1,3.1451,1.4706,1.2110,1.2389
strict_contam_L_s2_L3,ex2.980_3half+,3,1,2,0,2.4109,2.2032,1.6191,1.3802
strict_contam_L_s2_L3,ex3.661_NEW,2,1,3,0,2.5309,2.8203,0.8114,1.0091
strict_contam_L_s2_L3,ex4.231_3half+,2,0,-1,0,2.1300,1.7615,0.3844,0.8307
strict_contam_L_s2_L3,ex4.841_1half+,0,0,-1,0,2.2402,5.0247,5.8986,7.2485
strict_contam_L_s2_L3,ex5.91_3half+,2,1,0,0,2.4597,3.2914,2.2152,3.1954
strict_contam_L_s2_L3,ex6.30_5half+,0,1,2,0,0.3085,0.5915,0.3996,0.4257
strict_contam_L_s3_L0,ex2.763_1half-,3,1,2,0,2.5481,1.2326,1.1106,1.1049
strict_contam_L_s3_L0,ex2.980_3half+,3,1,2,0,2.3346,2.1464,1.6162,1.3897
strict_contam_L_s3_L0,ex3.661_NEW,2,1,3,0,2.4429,2.7631,0.8032,0.9560
strict_contam_L_s3_L0,ex4.231_3half+,2,0,-1,0,2.2689,1.8717,0.4032,0.8795
strict_contam_L_s3_L0,ex4.841_1half+,0,0,-1,0,2.1726,5.0637,5.9363,7.3335
strict_contam_L_s3_L0,ex5.91_3half+,2,1,0,0,2.4436,3.3043,2.1905,3.1979
strict_contam_L_s3_L0,ex6.30_5half+,0,1,2,0,0.3085,0.5840,0.3981,0.4238
strict_contam_L_s4_L0,ex2.763_1half-,2,1,3,1,2.6824,1.2801,1.1213,1.1257
strict_contam_L_s4_L0,ex2.980_3half+,3,1,2,0,2.3274,2.1620,1.6803,1.4552
strict_contam_L_s4_L0,ex3.661_NEW,2,1,3,0,2.5941,2.7987,0.8241,0.9299
strict_contam_L_s4_L0,ex4.231_3half+,2,0,-1,0,2.2922,1.8627,0.4217,0.8988
strict_contam_L_s4_L0,ex4.841_1half+,0,0,-1,0,2.2674,5.3423,6.4122,7.9168
strict_contam_L_s4_L0,ex5.91_3half+,2,1,0,0,2.3524,3.3944,2.1387,3.1103
strict_contam_L_s4_L0,ex6.30_5half+,0,1,2,0,0.3115,0.5991,0.4073,0.4360
strict_contam_L_s5_L3,ex2.763_1half-,2,1,3,1,2.9330,1.3840,1.1750,1.1911
strict_contam_L_s5_L3,ex2.980_3half+,3,1,2,0,2.3564,2.1644,1.6239,1.3953
strict_contam_L_s5_L3,ex3.661_NEW,2,1,3,0,2.4610,2.7824,0.7916,0.9567
strict_contam_L_s5_L3,ex4.231_3half+,2,0,-1,0,2.2730,1.8485,0.4099,0.9131
strict_contam_L_s5_L3,ex4.841_1half+,0,0,-1,0,2.1250,5.2208,5.9658,7.3606
strict_contam_L_s5_L3,ex5.91_3half+,2,0,-1,0,2.5648,3.0501,2.2483,3.3677
strict_contam_L_s5_L3,ex6.30_5half+,0,1,2,0,0.3137,0.5878,0.3943,0.4124
strict_contam_L_s6_L3,ex2.763_1half-,3,1,2,0,2.5534,1.2345,1.1114,1.1058
strict_contam_L_s6_L3,ex2.980_3half+,3,1,2,0,2.3339,2.1455,1.6143,1.3877
strict_contam_L_s6_L3,ex3.661_NEW,2,1,3,0,2.4626,2.7890,0.8039,0.9586
strict_contam_L_s6_L3,ex4.231_3half+,2,0,-1,0,2.2641,1.8582,0.4052,0.8935
strict_contam_L_s6_L3,ex4.841_1half+,0,0,-1,0,2.1744,5.0633,5.9136,7.2941
strict_contam_L_s6_L3,ex5.91_3half+,2,1,0,0,2.4200,3.3027,2.1770,3.1669
strict_contam_L_s6_L3,ex6.30_5half+,0,1,2,0,0.3092,0.5883,0.3998,0.4259
