state,bin_center,dsdo_mbsr,stat_err,syst_half,scale_err_corr,band_pointwise,lo_pointwise,hi_pointwise,scale_lo,scale_hi
ex4.841_1half+,16.25,6.2672,1.10354,0.93187,0.752064,1.44436,4.82284,7.71156,5.51514,7.01926
ex4.841_1half+,18.75,3.41192,0.919288,0.610365,0.40943,1.10347,2.30845,4.51539,3.00249,3.82135
ex4.841_1half+,21.25,3.73136,0.813794,0.47032,0.447763,0.939926,2.79143,4.67129,3.2836,4.17912
ex4.841_1half+,23.75,2.28611,0.743679,0.30018,0.274333,0.801977,1.48413,3.08809,2.01178,2.56044
ex4.841_1half+,26.25,1.75659,0.486438,0.207425,0.210791,0.528817,1.22777,2.28541,1.5458,1.96738
ex4.841_1half+,28.75,2.82227,0.524214,0.243255,0.338672,0.577904,2.24437,3.40017,2.4836,3.16094
ex4.841_1half+,36.25,0.0143933,0.18183,0.00065565,0.0017272,0.181831,0,0.196224,0.0126661,0.0161205
ex4.841_1half+,38.75,0.0110003,0.801792,0.00048045,0.00132004,0.801792,0,0.812792,0.00968026,0.0123203
ex5.91_3half+,16.25,6.36602,1.27398,1.30554,0.763922,1.82413,4.54189,8.19015,5.6021,7.12994
ex5.91_3half+,18.75,4.18586,0.970509,0.429005,0.502303,1.0611,3.12476,5.24696,3.68356,4.68816
ex5.91_3half+,21.25,2.15441,0.756532,0.370135,0.258529,0.842224,1.31219,2.99663,1.89588,2.41294
ex5.91_3half+,23.75,2.92598,0.778992,0.34787,0.351118,0.853137,2.07284,3.77912,2.57486,3.2771
ex5.91_3half+,26.25,3.85204,0.693312,0.25236,0.462245,0.737812,3.11423,4.58985,3.3898,4.31428
ex5.91_3half+,28.75,0.598344,0.413063,0.212514,0.0718013,0.464525,0.133819,1.06287,0.526543,0.670145
ex5.91_3half+,31.25,0.0167027,0.0557929,0.00040625,0.00200432,0.0557944,0,0.0724971,0.0146984,0.018707
ex5.91_3half+,33.75,0.0139138,0.349588,0.00033885,0.00166966,0.349588,0,0.363502,0.0122441,0.0155835
ex5.91_3half+,36.25,0.0117606,1.5152,0.0002839,0.00141127,1.5152,0,1.52696,0.0103493,0.0131719
ex5.91_3half+,38.75,0.0105929,4.28609,0.00025785,0.00127115,4.28609,0,4.29668,0.00932175,0.011864
ex6.30_5half+,16.25,0.713075,0.632387,0.230585,0.085569,0.673114,0.0399608,1.38619,0.627506,0.798644
ex6.30_5half+,18.75,0.652658,0.458532,0.0182,0.078319,0.458893,0.193765,1.11155,0.574339,0.730977
ex6.30_5half+,21.25,0.177269,0.35224,0.0240905,0.0212723,0.353063,0,0.530332,0.155997,0.198541
ex6.30_5half+,23.75,0.371657,0.361402,0.0121075,0.0445988,0.361605,0.0100522,0.733262,0.327058,0.416256
