bin_lo,bin_hi,bin_center,state,Ex_MeV,dsdo_mbsr,dsdo_err_mbsr,eff,eff_err
27.5,30,28.75,ex2.980_3half+,3.02,0.311744,0.249141,0.83246,0.0137069
27.5,30,28.75,ex3.661_NEW,3.68855,1.04713,0.345714,0.830353,0.0104907
27.5,30,28.75,ex4.231_3half+,4.23961,1.16353,0.397558,0.791148,0.0104182
27.5,30,28.75,ex4.841_1half+,4.93255,1.53864,0.441423,0.744418,0.00968575
27.5,30,28.75,ex5.91_3half+,5.97539,1.18002,0.723969,0.602867,0.00930655
27.5,30,28.75,ex6.30_5half+,6.35494,0.023523,0.0490521,0.604104,0.01173
30,32.5,31.25,gs_3half+,0,0.114614,0.134573,0.830755,0.0134158
30,32.5,31.25,ex_1half+_217,0.218,0.476945,0.272981,0.830755,0.0134158
30,32.5,31.25,ex_5half+_335,0.35,0.195916,0.221618,0.830755,0.0134158
30,32.5,31.25,ex2.763_1half-,2.8,0.264498,0.192703,0.819507,0.0110013
30,32.5,31.25,ex2.980_3half+,3.02,0.407764,0.235202,0.807137,0.0130589
30,32.5,31.25,ex3.661_NEW,3.68855,0.825213,0.340056,0.697435,0.00913727
30,32.5,31.25,ex4.231_3half+,4.23961,0.722547,0.443602,0.566838,0.00868422
30,32.5,31.25,ex5.91_3half+,5.97539,0.0153314,0.107208,0.675623,0.00957811
30,32.5,31.25,ex6.30_5half+,6.35494,0.0190952,0.36756,0.689981,0.012122
32.5,35,33.75,gs_3half+,0,0.321378,0.183812,0.80587,0.012745
32.5,35,33.75,ex_1half+_217,0.218,0.334389,0.265444,0.80587,0.012745
32.5,35,33.75,ex_5half+_335,0.35,0.450765,0.247148,0.80587,0.012745
32.5,35,33.75,ex2.763_1half-,2.8,0.149244,0.209804,0.663159,0.0091562
32.5,35,33.75,ex2.980_3half+,3.02,0.140139,0.247425,0.63192,0.0107911
32.5,35,33.75,ex3.661_NEW,3.68855,0.976286,0.406312,0.564228,0.00794476
32.5,35,33.75,ex4.231_3half+,4.23961,0.592509,0.452332,0.484727,0.00768982
32.5,35,33.75,ex5.91_3half+,5.97539,0.0127826,0.239421,0.756667,0.00978444
32.5,35,33.75,ex6.30_5half+,6.35494,0.0158951,4.06512,0.773993,0.0123938
